unknotdb-rf-descending-import-v0
snapshot_id	32cd2e96ddab2af3240e7572945735218922b31cef61cd776d4a1a52b2ff5ad2
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
range	0	2989
policy_limits	128	32
representation	id	stopping_key	old_u	new_u	cc	edges	status
representation	braid:db6828f8f6d60c71f5d7595a52e45f61d6c7b8e0513d104b1d26dbcdfcf980a0	3cfd481dc043618782c5f958733ac4444ef8ce7fbfe98d025416615a111d25f4	2	2	0	0	already-covered
representation	braid:f243676c2eacb2e51aaad362a487ccb304f51473d370b7ad83aee5cabaca18ee	ba764acc9970adbde64d0daf7a0665de6a826cb27c5ab488af7fcfc52eeb2eb3	3	3	0	0	already-covered
representation	braid:fc51459f2880ddbbeb3fb143b756ba7174b9f83c8c4e859956a9ff628cf02b49	8fe0b6b8d0e40090b5a8edefb9ff849496f76388746f808520885c6739ada49f	4	4	0	0	already-covered
representation	braid:fe7c5be57a47afc0eb922ba9378cf0052891d9cb30e895d932c9dd8e28cfa228	74c019d5f4efba33e55c32771360dc4c59e562ff639fef0022e13d8f199f17e1	3	3	0	0	already-covered
representation	braid:56ca662991219737ee759a247a77aa49b91cfdf4c4f615364627d3f282aa06b6	9407b29cb6ef6ab6f2c3610f929a719bf74168cfc342a60131ee790e3b4a99c6	4	4	0	0	already-covered
representation	braid:c7bd2170372f673d70212c3aa2571647c4c17621c1d3d2eb9118ff08bec2ce6e	84a055aca23a6540680986d9594d97fc2b9fbf4c92635312017496d89ff53207	3	3	0	0	already-covered
representation	braid:6f3348ef6f0b2e71c15cec31f853fcf0e671e31bb9620f32cf230fe37a9a2896	f80a4ff9f9c54e58ca62c6ee0f810d368615c5a881828b69cfa7c1a01ff26998	6	6	0	0	already-covered
representation	braid:5c193c9dd7cf7c1cdfaf51c97c4ecce4f1349cec41594f967ecb1ba52905ac6c	de985008529e25e2bef777caef2a0643c4c298cc41d48b365bb38f2206c7d352	6	6	0	0	already-covered
representation	braid:7544a4908f1b322e5faee2110d15514b9c9563a96e784db6e59c67b9f9f532b9	42e43777ac6e7c504c111c605ee98900e0c2f65281064ff2374c7ff97e7de4fe	4	4	0	0	already-covered
representation	braid:fd6152206c9c9fad5f4e09c8bfb0472316a14408b8cacd31f7b42e6c01bd2534	ad8304d4f36980946953c6386e26e9f1a4a178b2240ef9e881de851ee8cdf968	4	4	0	0	already-covered
representation	braid:149ea6d1f85e81858d52b043c9512f9c6f51616712edc8f6415bdfd62fdb170d	bf5255576ee17a623b2bff87a638472fd96bfe3679b47ef407ab0bfb739a6a7c	5	5	0	0	already-covered
representation	braid:58adcc0f7c0a13bd90b5ea7ab367333510e7b95e9a0779d62bbba5d47ba95375	d287b18fa69dab5ed56e66626b9a15fedd25b7969a719b234e76dbf2077558ba	1	1	0	0	already-covered
representation	braid:5deef360b9ff106cd82b95fb67129a5a23dc9f4700e4c60c7b4f2b65419c5903	1bb7d7449c86fcefee75bcd59851ccf627826957810a52e93d01e4ef7e471fde	2	2	0	0	already-covered
representation	braid:cd7a604b135b6986a255212b75a6e19343a41b1f947312da10b4dde1311b68fe	4207e83cd633f43d66d4b1b39c7cf1ee5201e871fceac687cf98c1d3256c59f4	1	1	0	0	already-covered
representation	braid:7d1767cb90ba36aaa96ba2c2ad96dfef673c9550ce776887b7d98cac99958a86	4aa847c67ad94e85f8305cc3f3b67a6e9d0de3b1751d00f117422b3100817844	4	4	0	0	already-covered
representation	braid:daad6e6d52c1a61ad103c3405a6e0536ee2040b85da5079660cc407e5c443fbf	d287b18fa69dab5ed56e66626b9a15fedd25b7969a719b234e76dbf2077558ba	1	1	0	0	already-covered
representation	braid:009b3e49ef3f35e6298fc2350ab9ca87977adbb7fc2190cf304ffd8af8d39051	27fff725996be05a196b26ed7c8f89cd7deabd56083fe217601f27ca829acb96	3	3	0	0	already-covered
representation	braid:0541852528d7db28dc0d8ce343f2373952aa9cf1ea7b836794b0fb28bdc4ca19	4eae1f68d524c5528a5007e10ea0685276fa720e6ef8b43d89afe92f9157b0ad	3	3	0	0	already-covered
representation	braid:08d81faeeffe52c29d9656fab4bf95face02d46f0d6f0ff56b129bb444a59574	92597679e7c5d219deb37d51e23dc0ed8ca1c9e509dbb3c1200465d6417c4b2b	5	5	0	0	already-covered
representation	braid:13412f9996e214341023609055763e3a6c0a8fc186f795d486ecf6973f8109c4	27a756cf9017845d460288871f6157fa5069c4c3ab129203444423bdfbb8a09d	3	3	0	0	already-covered
representation	braid:139820af1783043a7e3b4455ef2f851ded42024df18c0c2c460e37b3be7fb933	71e08637a44b4087939be545f66d45aaad9cb4c9e48412668cb5cc17fafc21cd	5	5	0	0	already-covered
representation	braid:2241eb328422b2f03800888e4a45ecb6336b33fff749bc002b8717aebc4c7da7	52d50966d359a091f65adeab6ec05a81dec5f9c05af3b4b1f1a5619590b5b1aa	4	4	0	0	already-covered
representation	braid:3b1c72aaec97ecc41771ef67305954ea8fb2f468bb5cce38a8d9629677d29ccd	4947a2da3b22690b3f6fea7ee31a44395ce4535c174ee87f31d5a61aa6d8aeb4	3	3	0	0	already-covered
representation	braid:3c35d68a0cb5c19b14036c625527c39cec4887794939470a2f7dc4606031b364	465caa9e222574d4367af765e9aa575af63d3e45faa40b5f5c9abdd884dfc199	4	4	0	0	already-covered
representation	braid:5c4879910fa6f2aaec1f70f9caee6ef6dbca81a74aa7827b52b3898111c1148f	574278ca7af9d5a64cbf6d93c0742ad5bf4d403e44625ee214e3c8ecfea6178f	3	3	0	0	already-covered
representation	braid:75dc8bd223d2bf89c1c71aac36a33dfdb5cfc113269f1e2b17e825019a84ab5d	8852f95bad256cc46bf08438ea438b848d62f108508325a70752363ef680a709	6	6	0	0	already-covered
representation	braid:79b8c6ec4462f6422f72f2cb896bb816ffd6327795e0f5ff19714059e3b58bc9	510ca985bac4103612396f0eee6af6cd63a9c37f16639eb167f704bde4cc08f3	5	5	0	0	already-covered
representation	braid:79ba86684e1537bbd77083fd08fe6268aeda864a73d59ef5baa470469196b815	d8704dfb0f4c74455e7ef48343d8cdef41f2a66f5f7c94639fa07e67ac4a8991	5	5	0	0	already-covered
representation	braid:7c4d4faad1d10eb409ee97c8118aa1e725de316b448045a81194e1681d52573c	1ff1b30785d13834de933ce48e1ea7a47a3031012a1d5f42fc60cd5fc180e4c0	3	3	0	0	already-covered
representation	braid:852c9914e47d294c9981efe17980a2488da75facad7814b0468f80e3820e7edb	36ca892c2939796ef36ea4fa7001fe01e853da0fb1f1c14987347044846ae0fd	6	6	0	0	already-covered
representation	braid:8f07663571c1b9ed0a7569f9c9f6d26db722154b1d4641b66c9dc89af0172be5	cae426133abf4b2c1c73941e77b3790ce13536e1d2abea834355f94c0fb4f488	5	5	0	0	already-covered
representation	braid:8fc43fc0069f52241d2358cf203a40b34656bfa7e4cd2d7af2aa7f09d7732030	ef403a6270e100b372fe56b61912d939825f005f27146b8cc5a60f681c37dad0	3	3	0	0	already-covered
representation	braid:93086d98b620edd7f4e583600589d9ff96103250a8df789a5477e6b50a92f852	9ba53a20356c26245ebcf97d942212b4c0fc63be603f9b605eee7d85cbf0a330	3	3	0	0	already-covered
representation	braid:9acdede86b2120a50fc3036a17b339659964e0eeb248dca8e927f53983083f97	497b6c57d6cfbfac8093aefb752ea590c784da8c488fe32d977b31a7c3a8e545	6	6	0	0	already-covered
representation	braid:9b463eb8c133b57bd3dc50515e12c9ece828be752f86998a7997591dedc0771c	4199b3a83cb662e613e791431a28c716281e3624b72366a21a0a1d2e640f6d22	4	4	0	0	already-covered
representation	braid:a4afb29a33a8e775f5f46bddfecfeab46cc46eaa74198990e4fd3ac91cf2eb6c	9904de6524ba3cca4af965ab3a8faa5a8f00099625a8c95d27e117b8c43e93d9	2	2	0	0	already-covered
representation	braid:afc5727c2f48f9d4258e69646a9cc1f694283756a28c4a79244bf62d33847152	248fbc51d4f2b2267930fa00116957d5317af610dadef2111374fb9cebce6e75	4	4	0	0	already-covered
representation	braid:b17d10c36921d8c47e3a4ee81d8bee6ddda980871d593e1b5a83ccec97a49130	a5ac79f27e4d127f2190a9c645c95d2030e4cfedda245bd414ad309d8d9756df	3	3	0	0	already-covered
representation	braid:b973df1edcb26295a66954844ac8e4f2ac879051f0a4e2aac60cbf627e7fb415	47168ac9641d24512dd2787289e857acf7e8617a5959dc99367463f2fd4a26e1	5	5	0	0	already-covered
representation	braid:ba2de105f8bebc2695380acedb40a0fd4c21b1cf6e3cf281a4444d4c54fb3373	d1eb91ed4fc1627c653aa02cd97759088899d067acd8ace140787909ef71853b	7	7	0	0	already-covered
representation	braid:bf24a466f93da33e7a569b44510db556978c65e1d0dc34fd03cd905eb211ff9b	4e17069f18d15673c0a8f10a20d77e5627e863cb1c7ebe8d6cb092e6ea9eaedc	5	5	0	0	already-covered
representation	braid:dcfda18efc117074c8d1aa2751fedc105b0bbfe0a38faa1ff019bc84e1b2365f	b31cf89de7f95952c17bfccee62003ae34013de3c3a7c28c00a4a95c0dd9b4b4	4	4	0	0	already-covered
representation	braid:e0963d022e52f9a55a245ef51998c049d739e96eb2aa5af4c0e2d0f929275160	83b3714817df31b1f122f79a173404e4cd17eccdd1a40fb7f1f4f437df71c476	4	4	0	0	already-covered
representation	braid:e37ab3eadbcbbc12c4fe82d759d5d6fb7fb3d437f105d3e5d4ffc03eaaf799f7	e14599a0b7f8168d350a9cf26b0689e793d6e1e4dff6e2dde64a301d13659a0b	4	4	0	0	already-covered
representation	braid:e90144ee1381c668228509c94b28f05cdb41113f3ae98691f687093a2a822e54	b20686d133f78eb7bc2127eca1aeaef327a07e84fcd997afa2c36354a28b8205	1	1	0	0	already-covered
representation	braid:ee3d6a3c2bbe4da1fbd0fec3770b9fed9fb95aacec41f11b84da0b7285d22c28	d627659ab4887fbc053b36e3bd84c30723fa86c9fe548215ed2c9451513f9f00	4	4	0	0	already-covered
representation	braid:f06cbee7a72c9e0ac7bbf42cafa293d25b805d7dc78e33f4dfaca9a6385979ce	ddd0793889e83970c23c39def716ed4b346667b6469c78852ca834f3674e61c4	5	5	0	0	already-covered
representation	braid:f6a0686b9e058661f9d23089ac0f8eea904c6a339fa5b9fb348cd4558269ca85	6d225cbcdb3722ec0f3dd6168f33c47c9cb26d1e804d00e4353c916bacb4163f	3	3	0	0	already-covered
representation	braid:13b52049847a5cd9567a59519c5ddff670d87fb9c8d73ae02c8bcb346efb8a57	a4976397edd6627f0f2260e8078041b62e5e90c92dc9f472a376d2bef91c9486	6	6	0	0	already-covered
representation	braid:2bf2b0bcb1c944e1efcb1a22b47a514a0fe6f6e36495689f0869e1e80943add1	dc843df9d3ec14ae166749de7a2645755ac25f009e878ea89c6a33e1dc3f5bd7	5	5	0	0	already-covered
representation	braid:2fbcd3dded010002f6fe14b22ce9411ca921f323bce7b5277a00ef286c91658f	4baa046a1dd36910b059c1d6061bc3ebc6961abb935670791732465c9078087a	2	2	0	0	already-covered
representation	braid:33d5a5b90a097dcd6fb1cb39b201e5a9e2aaab0450973159025018efd948afa2	17a72f3398f935371bc04e2e72803a951b6a44ab9a41864760f4b657535b947a	6	6	0	0	already-covered
representation	braid:3cdad1d61f4b1cbad98f229c849601483cd4a5597ac32d58235c3c899515caaa	010880f3701acaf14dc2d980caf0c0a70819b3764ede1fa18619d010c96008b7	6	6	0	0	already-covered
representation	braid:59ac94ff39f956a31bdd70fb8136b5bc6f16fe2df3cce0575bd03e03f3b9d4eb	34f4dee30c2a8355bb12f0adad3e5e1fc84d6dd83df00d9c7ecf3f62970ce526	4	4	0	0	already-covered
representation	braid:7906f927ccfbda4278ccb7535662084bde2c65828b66471f93816a565b1c0c3b	e7bd14c0c60a9f599b54443386ba799732e265af0885864a0ee05e654e3ea1cc	6	6	0	0	already-covered
representation	braid:918ebd743ef73b4d7dc2a9ec9a47f2172ddf9e7db7352e7f5d796b4a8e294a0a	a5dbba26b814798d0cbdf41ec9ed9455d5a8db4e0a6fe18cc83e3829def64bdf	7	7	0	0	already-covered
representation	braid:ab5c07650f2520e03b40e4b48e52e3b52c6b86b8a0fa1efd4e0552afe4451baa	696c4a41b8e3148bfacbb258822307ec81778d99b8feef9ac2216b28d4511b2b	4	4	0	0	already-covered
representation	braid:ba1df2524ea50b8449f7f0dc089abee278bb49626be31971f40ea05ca9643e4a	1535b480dfd01cfd792b5b77997f9535037beef9f6f6cd255d35507d92d0ee58	6	6	0	0	already-covered
representation	braid:bdd96e325dc4b8be8e8775d94e9ddfce4e78177bde183379006041eea9ad24d9	afbf970df11f9fb8cb8e263646b68a02954aef0a26dcafec322a42d8290c14c1	5	5	0	0	already-covered
representation	braid:cca042745301798ff5433b5627c07610c23ea0ee2c377cf7c4ab07f04195356b	0780e2fcb4543d520fcc4220e097d6bc57b59df040cc7029b5a94c00d0c01772	4	4	0	0	already-covered
representation	braid:ce3ec8252bada1ba7d60807a1d29a5ad5388a723665ddc2b0da0175701e7927d	2e82afc716785f2fc7708fdefee24caeb1e58a59793d9f8016ee6c0d8fc01eb2	6	6	0	0	already-covered
representation	braid:dcdda5988d2619d847de51237a5d92b55ab9152466fc5cfbf7af2d9313cd2838	5ab9c74e74a595bbbccd6d0f29238f9d1c8ee89aecad310c2ec6075eaee35695	5	5	0	0	already-covered
representation	braid:deb6421178c2435cc64e3bb64d8e6774afa12f3694861da2bf48539ac73afa47	175f76d3ffbde7b1ff0d9a9d35c71cc4da676ebbb51cfb90f0d5d0a2e0942e6f	7	7	0	0	already-covered
representation	braid:df734a425d761114338c547d1b26116b44da9122da30fd86412583c2bd667930	00a845276cd0cf5ada4d4fb9025856689ff468c749512fe223acacb6a18becb3	5	5	0	0	already-covered
representation	braid:e65db35e8acf104074f08b7327c90885cbf6ead0239bba0fe75579946602b432	11a87e8153c8c1ca63b0c0950039c22dc0dfcbb224f5abcbbb274f5956fb38bb	6	6	0	0	already-covered
representation	braid:fdcff41bedbe358f5ab9eb361c8109267209acc9f4bef8a99d942af30e5ecb45	8820ddf812dbec61b3a76f162a4b84d1c419fba006bc2fe0675cd73bfaaa98fb	4	4	0	0	already-covered
representation	braid:2a5dae38119d0482dc782919f36b478b6526b01c754f9c5a9bd199a092ec822b	efb4df20dbd74642d095db528a5720ff5c35dcd5fd4770425bdff9e0abea277a	6	6	0	0	already-covered
representation	braid:3053abf764ae232355160eb18da6688bb2e153cd5c2aa03119af26b26dd69e30	24c732fbe2b1c35197b74c16213b041b7e1010c66626b9261e1ff1283371bb79	5	5	0	0	already-covered
representation	braid:49ee4ccdb37e3de13b8fbaf41b68c4d8b84e9a2128ed099e8136449680d152a0	7e424d601235f27044e5e2293faadca47f3aa3eeefaff17db3096083f6ca3f31	6	6	0	0	already-covered
representation	braid:51eeb3a27764ecd4bab1927d501d3b05c05570983cbda1567681130290ac0a01	707a9ce0fd33cc391fd9ca348c3a1a31afe2158f51ecc792100b7a0decb6bf3a	7	7	0	0	already-covered
representation	braid:5e0a09bfaaffe9ff76f51bf0966a65322856b9446c70d246ecc9dd13b60496a3	e024a505bdf6c6e99228a1bfb9166cfcf17d0baa9db486c588f9999ce4f3352e	6	6	0	0	already-covered
representation	braid:6bff6fcfc429e680e7609864036555b9948504477de7d5bf88f82fa8955c2a6a	c4b38b96ef9fc0418cc6eaad21b3f900e48edeabd304694a281d9df6484d50e5	6	6	0	0	already-covered
representation	braid:795f414706372e61114fc4f6b0b6be7f76fb9bf61a868bd839a53ee41ef5d9e3	cd6bca6f012f3f8f0bbac266216e79ba90304c08a8643787324daf5b69333635	6	6	0	0	already-covered
representation	braid:8ca7d3a8e344fd393063aea71b45962f430c66a2c8f63275582056c47aa2ac87	118bfdf3665e26b80cac789a4ff4e420aed151ef8c0ddd4ae6ad460cfd6d1baf	3	3	0	0	already-covered
representation	braid:9824a37976d3e7891ccecabeceaee4ec320407ee01cd40283a97a049e8f2ac85	fc574bbd79d44a9e98b1b564c970a2f6ff33a3eedeb633b75edd3923695fe9b5	6	6	0	0	already-covered
representation	braid:9862c2f9a31db0f601887265bd78e0366907e044d3b7122f3c3ae304da71a5ed	90bd300732b55226e7158f6321aa4c4a5995d69257f03d3defaf02b0ff2d9dda	6	6	0	0	already-covered
representation	braid:9b862e79a6ef4ea280f2c02e40480080c803d0c8443f0f8999885d14d0e1e1ff	7b2615a621cde3b36176fda0981cac6c228a1005eb575b3b86eb22044c1817d2	7	7	0	0	already-covered
representation	braid:1b7d8ca84b02c255805b10c303ca84909b89d43515a4acd7fd0af407688aaf45	c6c7a21a4038f07a3adf79d1f92a6f6e885d0baf284706a4c5f16acf20058b3d	1	1	0	0	already-covered
representation	braid:853414caa2bd2bca599ec777e6d38c8622e7b5d07dcdd31c505ffc11353bcdb3	0bf62a8a42aaf1f53712da1b495d7c61cf9b79d4cf22637b7317fc8281760580	6	6	0	0	already-covered
