knot_id	catalogue_exact_u	status	attempts	strands	word_length	rep_key	graph_node_id	graph_u_upper	cc_positions	zero_ri	zero_rii	zero_riii
knot:10_85	2	witness	16	3	10	a04ed530c56b4e27c181b7959391f2389600213e24e86df34e2dc963e167280e	63271	3	1,8	2	4	2
knot:10_86	2	witness	89	5	16	cfdf6b44d24bd9fdab7154a2797413c3866868f53292db71c1596ce914450fb7	81917	8	7,12	4	6	1
knot:10_87	2	witness	23	5	16	0872bf43568aa4c03a0d770f306f4230afd182a26ad4e2e1ef9ea27f7872d9c2	3398	9	1,9	4	6	3
knot:10_88	1	witness	9	5	14	45d3db33c680e7a5c4f27ae077458f85df8ef5fbe782ce532ce5d8156505188e	27750	8	8	6	4	6
knot:10_89	2	witness	4	5	12	44a4cd9d599b352c9561eb771bd32bffe31f8bf05bce6bfcdd22b3806eee1cd7	27268	4	0,4	4	4	2
knot:10_90	2	witness	77	5	16	acfa566fbe9555173cb014682a517483df472d0b06aa0fbe1c89df41a2a3677c	68133	7	6,8	2	7	2
knot:10_91	1	witness	10	3	10	096c95ef0b37014266cbec3aad9e677f02556d11a8e4af96d145b80c1ef87e43	3821	3	9	2	4	3
knot:10_92	2	witness	25	5	16	dc33feed9f7d278eae525c89bc83f5d791982b912a25c1f741b6aa197466be2e	86669	7	1,11	2	7	3
knot:10_93	2	witness	43	5	16	ed3dcefd18b76463ccdb653c4d41ef2bd7b54a7ebcc3f95a57a25dc0c8c28e0f	93418	8	3,4	4	6	4
knot:10_94	2	witness	3	3	10	2329cda0643ac275fb8e25cc2a9bf6aecb8e38f373d30babd9df60125bbd6e52	13860	2	0,3	2	4	2
knot:10_95	1	witness	16	5	16	7e05d6ef296b9b6e864976f9c81efd2031cf71e8aa6ffc2c3e78019baea2493a	49984	8	3	4	6	5
knot:10_96	2	witness	24	5	12	b72192833ab589c7d5546a81b7d301be5e187ce098bf6050921a3107c19ead65	72266	5	2,5	4	4	1
knot:10_97	2	witness	187	7	26	f8c0468ad6fe68a513620e9b3f77ad044e5a4ed7821af319337e144774f2856a	97863	12	8,23	4	11	4
knot:10_98	2	witness	22	5	16	467e3681b53ef71b7752186f9fd28be9033a1b95a0f091de281b60d61916ac30	27995	5	1,8	4	6	1
knot:10_99	2	witness	22	3	10	b30781645eafb5f642393664dbbb799073edec642809d9d7f9ab7dd4f2d98d85	70627	3	2,7	2	4	3
knot:10_101	3	witness	439	7	28	29773f6a33b754f59e3dd77c41d00d0127bc34fed7d3554ca24f055f21170a40	16309	12	1,5,21	4	12	2
knot:10_102	1	witness	2	5	16	1c1c45423d42f448fa50bf41332a3902e4b6526a8c4840f34f41b020890d2620	11035	7	1	2	7	3
knot:10_103	3	witness	111	5	16	6bd933be4412595a614fd5d9aab593e6c22ab74b8b8e78bf255b16fafed259eb	42704	6	1,2,8	2	7	1
knot:10_104	1	witness	3	3	10	ac2b083fe3b6824602607237188aca33144f1d65ee7d632e3e1ac75e8b53319c	67862	3	2	2	4	3
knot:10_105	2	witness	22	5	14	d66641d35dcc6daab10d9a4af073655869f735878fcd649873aa0bc2aaef1e18	84399	5	1,10	2	6	2
knot:10_106	2	witness	18	3	10	3c2597cdcdd7f0850fa53807a3d7ee945cb9c19b6bbd69a8164915e246c53d2d	23845	2	2,3	2	4	2
knot:10_107	1	witness	12	5	14	e8a0897af26910b3ee3a9dbb786f79f5ec1382319c82d2623df5fd14e80682b7	91495	6	11	4	5	2
knot:10_108	2	witness	47	5	16	e9bde54cc4dd9ca6a5fa26644b0fcbdfbee85e089c5a0f8673c82608b8ddf9e9	91983	8	3,8	4	6	6
knot:10_109	2	witness	23	3	10	b6952ef9de3e048a8d60d9adb504f0522b86f96cd6a178d821f3d6db84f9b74b	72063	2	2,8	2	4	2
knot:10_110	2	witness	33	5	14	d08f5bc2448f5a22fc1ea75e95c6a45b25e925b6bbc2d918e79f023898edb0fa	82181	7	2,10	4	5	1
knot:10_111	2	witness	82	5	16	f0cd975dcaf1bc0263f6a023f37e5647ef4a81ea734089231ef8d9021b559330	94834	7	6,13	2	7	2
knot:10_112	2	witness	34	3	10	fe3ea5abc0c0fdd7992b099048b4f2adb7866cfb7e355c74afd7dc0f77c6900a	99948	3	4,8	2	4	2
knot:10_113	1	witness	2	5	16	d59e252a72bfec64f8db5ca2213869347d01993dbf1088ae91d0e1a52bd024e5	84106	8	1	2	7	3
