unknotdb-rf-targeted-campaign-v0
snapshot_id	67e82776df09c7a646b5e51ecff0f6e2d90ff372f65f44bbc4aafeb0b8cb0296
corpus_id	7de9d30ded524253bd8138245758f0a14d4f159397babf1c97d8b59207cf9c2a
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
limits	1	12	48	1	10000	1	1	1	1	1	10	128	32
audit	representation_id	priority	stop_reason	stopping_key	hit	u
audit	braid:12c6d26dcd5e51d115f645f09e3745f012b94b1b8f49556eeb6e6e7ba8c6595c	0	PreferredCrossingChange	2b3905b631626738ecc90c81de57f5f76354e4a6d1aed138cd69b3e9f0bb48d1	1	6
audit	braid:13630a2ad1197c43b033701fd8207e98cd8d5b112a75f58949ad20fe87e029e8	0	PreferredCrossingChange	9eb38446afc8f4bc76f5e94c6a6bcd804c048ef15353238905159fecb45527e5	1	5
audit	braid:13dc37f10d10571ffd9ede7d3a291a6bfc7a9fc3b29bd58c2c897c6ca672009b	0	PreferredCrossingChange	e38163144f502e36a8ab3e317ac6d0369e64944d753eed261a7f9bcfab92bf4f	1	7
audit	braid:799a5b8cbf2a6a65d6a5325a0a18a8eb0806ff9ab099e19b048a9228fba7a588	0	PreferredCrossingChange	57f8d872bde947d2c3255a872fddee6cd8f8b48f688307f41d722a2af4ef6d46	1	8
audit	braid:7bb4e790ac3a21c6a9fd124294ad0d2872b24e27774425d36a6361c8539ceabf	0	PreferredCrossingChange	b61d3b9188c2b1a02ae9c739bfcc985a47b462114ba995768fce3a0e6e758ec7	1	8
audit	braid:7dcedecb66e35d8a81637b261acaa65fd151a41ebdc5c06ab647e2ca99ff03df	0	PreferredCrossingChange	8cd16853270218892c78b156825200498ec2e19972cf82bd4dfb465e4a8d3a58	1	8
audit	braid:9eae5c0d65843c97d9c591553ab72f0f05b78037405c42ab68eb6d5be7682470	0	PreferredCrossingChange	44c089dd1af0bc8cfb90dd89427420fadc2879c4940429c97593de3e0838b97e	1	6
audit	braid:b13eebe419ab365db557801b64687e1530b796cd930be33104925639e45bdb40	0	PreferredCrossingChange	4e7beb2621f1198e466fab0524524b7241fda7c54bada4baf118d96b24b84d48	1	8
audit	braid:b3455b2b1d0eb015f24a46dd812255e09098785aa1f156de40a6192b391fbbe9	0	PreferredCrossingChange	4a2475aa60c32b6da030e73ea6805be20629e0069dd0a26899691e5a13a56434	1	3
audit	braid:b969c9452f73a7f4f6a247d191c03ab34efa2abbb89291c57c2a51e610a2c2f1	0	PreferredCrossingChange	42eb188c937b027678d63abf34ef18b848b20db51ffe9f1ea84720f4c65cfdb7	1	7
audit	braid:bd9546378d40e538c04d06ef0de87102985a59875c5fba5b9f372e45a4304e6c	0	PreferredCrossingChange	fed68cca77792dd241edecf6aa1d553445daafd7f73b12364ec3ae0e21caa70c	1	7
audit	braid:c95944e7660f069e3e3bb0a2d77adebe9e5b89a1f601c5eb017ba07a75e7d39a	0	PreferredCrossingChange	8738c5218ef65c2d2bfa012da1efcfbe16a9ffdb8caea92dc342e3f8bef22b46	1	7
audit	braid:cf017959a0cb80a5b954b247432c9584ada1d1cf65da08bb79a62eb46bc44c7e	0	PreferredCrossingChange	53ff93241588efc5c935f743fe7d21820aa37fbf7fb8168f6e0c547db064fcdf	1	6
audit	braid:db6828f8f6d60c71f5d7595a52e45f61d6c7b8e0513d104b1d26dbcdfcf980a0	0	PreferredCrossingChange	3cfd481dc043618782c5f958733ac4444ef8ce7fbfe98d025416615a111d25f4	1	10
audit	braid:f243676c2eacb2e51aaad362a487ccb304f51473d370b7ad83aee5cabaca18ee	0	PreferredCrossingChange	ba764acc9970adbde64d0daf7a0665de6a826cb27c5ab488af7fcfc52eeb2eb3	1	5
audit	braid:fc51459f2880ddbbeb3fb143b756ba7174b9f83c8c4e859956a9ff628cf02b49	0	PreferredCrossingChange	8fe0b6b8d0e40090b5a8edefb9ff849496f76388746f808520885c6739ada49f	1	7
audit	braid:fe7c5be57a47afc0eb922ba9378cf0052891d9cb30e895d932c9dd8e28cfa228	0	PreferredCrossingChange	74c019d5f4efba33e55c32771360dc4c59e562ff639fef0022e13d8f199f17e1	1	7
audit	braid:56ca662991219737ee759a247a77aa49b91cfdf4c4f615364627d3f282aa06b6	0	PreferredCrossingChange	9407b29cb6ef6ab6f2c3610f929a719bf74168cfc342a60131ee790e3b4a99c6	1	8
audit	braid:c7bd2170372f673d70212c3aa2571647c4c17621c1d3d2eb9118ff08bec2ce6e	0	PreferredCrossingChange	84a055aca23a6540680986d9594d97fc2b9fbf4c92635312017496d89ff53207	1	3
audit	braid:6f3348ef6f0b2e71c15cec31f853fcf0e671e31bb9620f32cf230fe37a9a2896	0	PreferredCrossingChange	f80a4ff9f9c54e58ca62c6ee0f810d368615c5a881828b69cfa7c1a01ff26998	1	6
audit	braid:5c193c9dd7cf7c1cdfaf51c97c4ecce4f1349cec41594f967ecb1ba52905ac6c	0	PreferredCrossingChange	de985008529e25e2bef777caef2a0643c4c298cc41d48b365bb38f2206c7d352	1	6
audit	braid:7544a4908f1b322e5faee2110d15514b9c9563a96e784db6e59c67b9f9f532b9	0	PreferredCrossingChange	42e43777ac6e7c504c111c605ee98900e0c2f65281064ff2374c7ff97e7de4fe	1	9
audit	braid:fd6152206c9c9fad5f4e09c8bfb0472316a14408b8cacd31f7b42e6c01bd2534	0	PreferredCrossingChange	ad8304d4f36980946953c6386e26e9f1a4a178b2240ef9e881de851ee8cdf968	1	10
audit	braid:149ea6d1f85e81858d52b043c9512f9c6f51616712edc8f6415bdfd62fdb170d	0	PreferredCrossingChange	bf5255576ee17a623b2bff87a638472fd96bfe3679b47ef407ab0bfb739a6a7c	1	10
audit	braid:58adcc0f7c0a13bd90b5ea7ab367333510e7b95e9a0779d62bbba5d47ba95375	0	PreferredCrossingChange	d287b18fa69dab5ed56e66626b9a15fedd25b7969a719b234e76dbf2077558ba	1	1
audit	braid:5deef360b9ff106cd82b95fb67129a5a23dc9f4700e4c60c7b4f2b65419c5903	0	PreferredCrossingChange	1bb7d7449c86fcefee75bcd59851ccf627826957810a52e93d01e4ef7e471fde	1	2
audit	braid:cd7a604b135b6986a255212b75a6e19343a41b1f947312da10b4dde1311b68fe	0	PreferredCrossingChange	4207e83cd633f43d66d4b1b39c7cf1ee5201e871fceac687cf98c1d3256c59f4	1	1
audit	braid:7d1767cb90ba36aaa96ba2c2ad96dfef673c9550ce776887b7d98cac99958a86	0	PreferredCrossingChange	4aa847c67ad94e85f8305cc3f3b67a6e9d0de3b1751d00f117422b3100817844	1	887
audit	braid:daad6e6d52c1a61ad103c3405a6e0536ee2040b85da5079660cc407e5c443fbf	0	PreferredCrossingChange	d287b18fa69dab5ed56e66626b9a15fedd25b7969a719b234e76dbf2077558ba	1	1
audit	braid:009b3e49ef3f35e6298fc2350ab9ca87977adbb7fc2190cf304ffd8af8d39051	0	PreferredCrossingChange	27fff725996be05a196b26ed7c8f89cd7deabd56083fe217601f27ca829acb96	1	8
audit	braid:0541852528d7db28dc0d8ce343f2373952aa9cf1ea7b836794b0fb28bdc4ca19	0	PreferredCrossingChange	4eae1f68d524c5528a5007e10ea0685276fa720e6ef8b43d89afe92f9157b0ad	1	7
audit	braid:08d81faeeffe52c29d9656fab4bf95face02d46f0d6f0ff56b129bb444a59574	0	PreferredCrossingChange	92597679e7c5d219deb37d51e23dc0ed8ca1c9e509dbb3c1200465d6417c4b2b	1	6
