unknotdb-quality-frontier-v0
limits	128	3	4096	256	5	14
accepted	92ea552a470b9590c2fe741c5b0d5e7311c1d17eb9f24d3f74ef6ec23ad624e9	873e45eb657f624ab1bd0b17f9e50c7bc33a1485b3d13bea9219181c82754b09	1977	1973	1	1	554b5030010000000200000008000000000000000800000000000080
accepted	92ea552a470b9590c2fe741c5b0d5e7311c1d17eb9f24d3f74ef6ec23ad624e9	824e0a3915f1958bd9c90f405858ce6cf73abf2bbc19d241eb2db85cae8b1762	1973	1010	1	1	554b50300100000003000000280000000000000000000000000000c00300000000000080
accepted	8dd721ba514bdc41dc655d0039245e0c3c8862fadc9998c04bb790d7e748991c	54e4609fbe18bb274c1f5627f987f4ca1c21c0355dd56a5da228d91e7daf010e	1976	1972	1	1	554b5030010000000200000008000000000000000800000000000080
accepted	8dd721ba514bdc41dc655d0039245e0c3c8862fadc9998c04bb790d7e748991c	92ea552a470b9590c2fe741c5b0d5e7311c1d17eb9f24d3f74ef6ec23ad624e9	1972	1011	1	1	554b503001000000010000001800000000000000
accepted	8dd721ba514bdc41dc655d0039245e0c3c8862fadc9998c04bb790d7e748991c	6ec38e3435d5af5459649a90c716b60b7c953c96abf5dc6d15090735243d29bf	1011	1010	1	1	554b503001000000010000004800000000000000
accepted	cae30e424d7931b13a13d93615304a24a848f6746a570618f6071ffeef255cf2	b52b69dff05c789bc8206acb34a0d1e29a178b1102929a4840504026bc77558d	1975	1009	1	1	554b5030010000000200000008000000000000000400000000000080
accepted	996c91e4c90715a2fca1466d333ed4fb33111b28f14a814cf3ade14266df5d46	cae30e424d7931b13a13d93615304a24a848f6746a570618f6071ffeef255cf2	1974	1010	1	1	554b503001000000010000001800000000000000
accepted	8fb6ffd67e4063401fab0b80bc7ef783022cf7c9f80674904bb2281c6166598f	b52b69dff05c789bc8206acb34a0d1e29a178b1102929a4840504026bc77558d	1973	1009	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	873e45eb657f624ab1bd0b17f9e50c7bc33a1485b3d13bea9219181c82754b09	8fb6ffd67e4063401fab0b80bc7ef783022cf7c9f80674904bb2281c6166598f	1972	1010	1	1	554b5030010000000200000008000000000000000200000000000080
accepted	54e4609fbe18bb274c1f5627f987f4ca1c21c0355dd56a5da228d91e7daf010e	b52b69dff05c789bc8206acb34a0d1e29a178b1102929a4840504026bc77558d	1971	1009	1	1	554b5030010000000200000008000000000000000500000000000080
accepted	4b2825d388034f9959837bc91a65fa66b3afdc06fa2ecce6c80c94dfbee2aae8	54e4609fbe18bb274c1f5627f987f4ca1c21c0355dd56a5da228d91e7daf010e	1970	1010	1	1	554b5030010000000200000008000000000000000600000000000080
accepted	e28cd9c227d6e6bc33fabfc0d759910962a4e213ebe8c545d315d4d482778474	4b2825d388034f9959837bc91a65fa66b3afdc06fa2ecce6c80c94dfbee2aae8	1969	1011	1	1	554b5030010000000200000008000000000000000800000000000080
accepted	a01449872b89a5e82fdb53bbc565421181f679c38948ba54d59ac9b8fb8c8c7d	e28cd9c227d6e6bc33fabfc0d759910962a4e213ebe8c545d315d4d482778474	1968	1012	1	1	554b503001000000010000001800000000000000
accepted	a01449872b89a5e82fdb53bbc565421181f679c38948ba54d59ac9b8fb8c8c7d	8dd721ba514bdc41dc655d0039245e0c3c8862fadc9998c04bb790d7e748991c	1012	1011	1	1	554b50300100000003000000680000000000000000000000000000c00300000000000080
accepted	0760836e2ec978276b7b0c6b48514770e6e4f342049c4f55251c10e1ba8728e8	a04f405a5d0f27390f866a8b166d7143d82b2a4cc8df4bfc51c3f82c0773362d	1967	1964	1	1	554b5030010000000200000018000000000000000100000000000080
accepted	0760836e2ec978276b7b0c6b48514770e6e4f342049c4f55251c10e1ba8728e8	36e79fee5911b7693213f46088491251268fceb36b13749a160200c84a3d22a7	1964	1796	1	1	554b503001000000010000002800000000000000
accepted	0760836e2ec978276b7b0c6b48514770e6e4f342049c4f55251c10e1ba8728e8	59e95ce20684d14a8105b07fcfa1ed6fdc3a285b0af79d035a77baa285f328d3	1796	1009	1	1	554b503001000000010000003800000000000000
accepted	a1df6336221936926c319d7d2c6bbd15bfee10eb2c6e808ba993f50c100299b3	6f1632453ff530bdc203196db27caf45fe540d202cda6fcfd1d16f1763e0c4df	1966	1008	1	1	554b5030010000000200000008000000000000000500000000000080
accepted	70676337987b49672316228f410ec1addb415a20816d53f43e91ef00c7b968cf	a1df6336221936926c319d7d2c6bbd15bfee10eb2c6e808ba993f50c100299b3	1965	1009	1	1	554b5030010000000200000008000000000000000800000000000080
