format	unknotdb-catalogue-planar-chain-import-v0
source_snapshot_sha256	c2d2dd17a792002372c7902ef53853f8677747a9ae1e2aaa19e80c56344421f3
policy_model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
max_policy_plies	128
max_semantic_moves	32
row	knot_id	status	old_u	new_u	cc_count	certificate_id	detail
corpus	outputs/unknotdb-catalogue-reidemeister-c10-exact-v1.json	70bc3c76816ec9f8a90343e835d24ca1c5cdd6d7104993eb068bbe68edcaac10	155
result	knot:10_1	absent-source	-	-	0	-	standard normalized key is not in graph
result	knot:10_2	improved	6	3	3	8b358b64f679a0d807611032e170298072805d828817608785d7eaadf4060185	verified chain
result	knot:10_3	absent-source	-	-	0	-	standard normalized key is not in graph
result	knot:10_4	improved	10	2	2	07187829dfd9341f4f77887730d461572e096f995b36dc5869ade509ca75352a	verified chain
result	knot:10_5	improved	5	2	2	bf72bf3f29c40e27da9538e82991877d3ddeb7e8542af77bd0a4c2e924d46163	verified chain
result	knot:10_7	improved	16	1	1	0f824cd1c630eb37f253d2506a504bc4e9e18b8b1b8c56a112616ad351245fd9	verified chain
result	knot:10_8	improved	5	2	2	c9beada1df3adfea39698dc5ff069afe4a84738b4514356152b34a12d2efefb2	verified chain
result	knot:10_9	improved	3	1	1	4f68cb7e4509a96dddc2a9915ba87fb6b4ec319c8b1ce8bd82cddab9723c5b8c	verified chain
result	knot:10_10	improved	13	1	1	a9cc8cbd827c1655a8def2938b10f55a9ab1ad5a4db287094d67c1c1b158cfd1	verified chain
result	knot:10_12	improved	6	2	2	18419b2244120fc2243d17aaec3e2678d10ae9b87349978c40e772bcd2e0c475	verified chain
result	knot:10_13	improved	10	2	2	dd2b4ae9b74875b6559be3f881b74051253ba51ef1e89be7ee466bd88d2151c0	verified chain
result	knot:10_14	improved	5	2	2	c41f5ceddf4fd3633f7b7ae3ec787663646df088f369fef137f237a4c419a4a4	verified chain
result	knot:10_15	improved	6	2	2	930e9a275b75020b22e1f06b5134baa5641d72eb7900d4789f44cf2b317d5471	verified chain
result	knot:10_16	improved	10	2	2	dbade4568916a1649f97ed0f764a63340667376e5236dd8487fc3e3b20428376	verified chain
result	knot:10_17	improved	5	1	1	36f6ae6faf86f400aa0ea24ae4a26b3c5b5ec6ee6fa423e60862269bbcb9cf58	verified chain
result	knot:10_18	improved	18	1	1	2aeb3a03f88d2b1cceabdcb6d1d32656222429b421e3e1b8d0e1e63d17b979f5	verified chain
result	knot:10_19	improved	6	2	2	2de2e59ec5d9e693379a763194e5f453b5d92cce670913a1d4f0fe58f9be3a78	verified chain
result	knot:10_20	improved	14	2	2	4ad55da62ab53f6bbd6cb162365a2730e14e8167f509446784dcce55180a6822	verified chain
result	knot:10_21	improved	7	2	2	c4a430e5f5d83c0d917395eba7a6d4289da3243c6c5998876b1bab94885edb7b	verified chain
result	knot:10_22	improved	7	2	2	ed7ca00aa5b149b6d902f2b9cdb6f824255384b92ec62071c3351310d7d0cd7e	verified chain
result	knot:10_23	improved	6	1	1	1300a914c9ce6686e88acf74edecfe8e5e37485154517dd3a2936c5c7748a08e	verified chain
result	knot:10_24	improved	14	2	2	4f7d196db606f6648fc9a892ae041c43afe137e6d0f7a1179d7f2d2d7536c228	verified chain
result	knot:10_25	improved	7	2	2	1c98c1c3ff3e7f6fe8f290de8b8ac0243cc74a7dd74fcfb9ee1a649b6594a89e	verified chain
result	knot:10_26	improved	7	1	1	77833779083c43642b147818e5060bfd4d86a98d5266d1a525017fb2991907da	verified chain
